code,name,sector,theme,sector_theme,source,source_url,asof_kst
089980,상아프론테크,플라스틱제품 제조업,LCD부품·사무기기부품·PCB부품,플라스틱제품 제조업 / LCD부품·사무기기부품·PCB부품,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
090080,평화산업,자동차 신품 부품 제조업,자동차부품(방진고무·방류고무(COVER류·CUP류),자동차 신품 부품 제조업 / 자동차부품(방진고무·방류고무(COVER류·CUP류),KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
090150,아이윈,자동차 신품 부품 제조업,시트히터,자동차 신품 부품 제조업 / 시트히터,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
090350,노루페인트,기타 화학제품 제조업,페인트 제조,기타 화학제품 제조업 / 페인트 제조,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
090360,로보스타,특수 목적용 기계 제조업,제조용 로봇·FPD 장비·IT부품 제조장비,특수 목적용 기계 제조업 / 제조용 로봇·FPD 장비·IT부품 제조장비,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
090370,메타랩스,봉제의복 제조업,여성용 의류(캐쥬얼티셔츠·바지) 제조,봉제의복 제조업 / 여성용 의류(캐쥬얼티셔츠·바지) 제조,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
090410,덕신이피씨,"구조용 금속제품, 탱크 및 증기발생기 제조업",일체형 데크플레이트 등,"구조용 금속제품, 탱크 및 증기발생기 제조업 / 일체형 데크플레이트 등",KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
090430,아모레퍼시픽,기타 화학제품 제조업,화장품·생활용품 제조·판매,기타 화학제품 제조업 / 화장품·생활용품 제조·판매,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
090460,비에이치,전자부품 제조업,FPCB (연성인쇄회로기판),전자부품 제조업 / FPCB (연성인쇄회로기판),KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
090470,제이스로보틱스,특수 목적용 기계 제조업,기계장비(디스플레이장비),특수 목적용 기계 제조업 / 기계장비(디스플레이장비),KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
090710,휴림로봇,특수 목적용 기계 제조업,제조업용로봇및서비스로봇,특수 목적용 기계 제조업 / 제조업용로봇및서비스로봇,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
090850,현대이지웰,소프트웨어 개발 및 공급업,선택적복리후생서비스,소프트웨어 개발 및 공급업 / 선택적복리후생서비스,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
091120,이엠텍,전자부품 제조업,마이크로스피커·리시버,전자부품 제조업 / 마이크로스피커·리시버,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
091340,S&K폴리텍,전자부품 제조업,고밀도폴리우레탄폼시트,전자부품 제조업 / 고밀도폴리우레탄폼시트,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
091440,한울소재과학,통신 및 방송 장비 제조업,광전송장비,통신 및 방송 장비 제조업 / 광전송장비,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
091580,상신이디피,일차전지 및 이차전지 제조업,2차전지부품,일차전지 및 이차전지 제조업 / 2차전지부품,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
091590,남화토건,건물 건설업,건축공사·토목공사,건물 건설업 / 건축공사·토목공사,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
091700,파트론,전자부품 제조업,카메라모듈·안테나·센서류 등,전자부품 제조업 / 카메라모듈·안테나·센서류 등,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
091810,트리니티항공,항공 여객 운송업,저가 항공운송,항공 여객 운송업 / 저가 항공운송,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
091970,LSK아이로봇,플라스틱제품 제조업,투명전도성관련제품,플라스틱제품 제조업 / 투명전도성관련제품,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
092040,아미코젠,기타 식품 제조업,제약용 특수효소 및 효소기반 바이오신소재,기타 식품 제조업 / 제약용 특수효소 및 효소기반 바이오신소재,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
092070,디엔에프,기타 화학제품 제조업,반도체배선박막재료(알루미늄전구체),기타 화학제품 제조업 / 반도체배선박막재료(알루미늄전구체),KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
092130,이크레더블,기타 정보 서비스업,전자신용인증서비스(정보)·소프트웨어 개발,기타 정보 서비스업 / 전자신용인증서비스(정보)·소프트웨어 개발,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
092190,서울바이오시스,반도체 제조업,Visible LED·UV LED,반도체 제조업 / Visible LED·UV LED,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
