basis_date,market,ticker,name,long_history_rows,metric_input_rows,metric_status,official_close,swing_phase,swing_phase_ko,swing_trough_date,swing_peak_date,from_trough_pct,from_peak_pct,momentum_5d_pct,ma5_value,ma5_direction,ma20_value,ma20_direction,ma60_value,ma60_direction,ma120_value,ma120_direction,return_1m_pct,return_3m_pct,rs_kospi_1m_pp,rs_kospi_3m_pp,atr14_krw,atr14_pct,avg_daily_range_20_pct,mean_run_days,up_run_days,down_run_days,streak_direction,streak_days,streak_change_pct,ma20_reference_only,confirmed_swing_low_stop,rsi,macd,return_1w,return_6m,return_ytd,return_52w,rs_sector,investment_score_100,earnings_outlook_change
2026-09-11,KOSPI,002450,삼익악기,260,143,OK,1131.0,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-29,2026-06-12,5.0139,-13.3997,-2.4159,1148.4,-1,1132.6,1,1138.65,-1,1195.8417,-1,-2.0779,-9.7366,-10.972,1.2635,25.9389,2.2934,2.0089,2.608695652173913,2.6363636363636362,2.5833333333333335,-1,4,-3.0848,1132.6,,,,,,,,,,
2026-09-11,KOSPI,002990,금호건설,260,143,OK,14710.0,TOP_DECLINE,고점후하락,2026-06-11,2026-07-09,297.5676,-15.0202,-8.5768,15430.0,-1,15413.0,1,11949.25,1,8344.2917,1,28.0244,297.5676,19.1303,308.5677,,,11.884,2.142857142857143,2,2.2857142857142856,-1,4,-8.6903,15413.0,,,,,,,,,,
2026-09-11,KOSPI,003010,혜인,260,143,OK,9450.0,TOP_DECLINE,고점후하락,2026-07-29,2026-08-28,136.5457,-25.4732,-11.2676,8974.0,-1,10411.5,1,6574.75,1,6279.8333,1,33.4746,101.0638,24.5805,112.0639,1309.4035,13.8561,16.7935,2,2.066666666666667,1.9333333333333333,1,3,9.1224,10411.5,,,,,,,,,,
2026-09-11,KOSPI,003230,삼양식품,260,143,OK,1278000.0,TOP_DECLINE,고점후하락,2026-07-20,2026-08-28,21.3675,-17.3885,-9.8095,1285600.0,-1,1390300.0,1,1232583.3333,1,1242841.6667,1,1.9139,8.6735,-6.9802,19.6736,70689.6123,5.5313,5.225,2,1.6666666666666667,2.3333333333333335,1,1,1.1076,1390300.0,,,,,,,,,,
2026-09-11,KOSPI,003280,흥아해운,260,143,OK,1878.0,BOTTOM_REBOUND,저점반등,2026-07-29,2026-07-23,22.8254,-7.715,8.9327,1807.6,1,1763.65,1,1724.7167,-1,2274.3833,-1,8.8696,1.4587,-0.0245,12.4588,118.9814,6.3355,5.878,1.935483870967742,2.066666666666667,1.8125,-1,1,-1.2099,1763.65,,,,,,,,,,
2026-09-11,KOSPI,003350,한국화장품제조,260,143,OK,15710.0,UPTREND,상승중,2026-06-25,2026-09-11,121.8927,0.0,23.2157,13642.0,1,12940.0,1,9774.8333,1,15840.75,-1,51.9342,91.1192,43.0401,102.1193,,,9.3894,2.142857142857143,2.2857142857142856,2,1,1,19.3769,12940.0,,,,,,,,,,
2026-09-11,KOSPI,003490,대한항공,260,143,OK,28950.0,UPTREND_PULLBACK,상승중 눌림,2026-07-30,2026-09-07,17.4442,-4.6129,-4.1391,29750.0,1,27932.5,1,27213.3333,1,26291.25,1,8.6304,16.7339,-0.2637,27.734,1035.0235,3.5752,3.2856,2.142857142857143,2.0714285714285716,2.2142857142857144,-1,4,-4.6129,27932.5,,,,,,,,,,
2026-09-11,KOSPI,003495,대한항공우,260,143,OK,21700.0,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-30,2026-06-15,4.3269,-5.6522,-1.81,21870.0,1,21757.5,1,21777.5,-1,22474.5833,-1,0.9302,1.4019,-7.9639,12.402,448.4446,2.0666,2.0004,2.0689655172413794,2,2.1333333333333333,-1,3,-1.3636,21757.5,,,,,,,,,,
2026-09-11,KOSPI,003530,한화투자증권,260,143,OK,4785.0,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-30,2026-06-17,30.2041,-19.3086,-6.1765,4859.0,-1,4831.5,1,4674.0,-1,5827.25,-1,4.5902,-12.6825,-4.3039,-1.6824,260.255,5.439,5.1176,1.935483870967742,1.5333333333333334,2.3125,-1,1,-1.9467,4831.5,,,,,,,,,,
2026-09-11,KOSPI,003540,대신증권,260,143,OK,27200.0,BOTTOM_REBOUND,저점반등,2026-07-29,2026-06-16,15.4989,-12.96,2.6415,26940.0,1,26597.5,1,26665.8333,-1,31077.5,-1,3.4221,-4.8951,-5.472,6.105,850.3576,3.1263,2.6346,1.7647058823529411,1.8823529411764706,1.6470588235294117,1,1,0.7407,26597.5,,,,,,,,,,
