ticker,name,market,sector_theme,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,roe_annualized_pct,debt_ratio_pct,per_annualized,pbr,earnings_trend,q2_revenue_yoy_pct,q2_operating_profit_yoy_pct,q2_net_income_yoy_pct,operating_cash_flow_annual,return_1m_pct,return_3m_pct,position_3m_pct,atr14_pct,avg20_trading_value_krw,volume_vs_20d,elasticity_20d_pct,supply_level,swing_phase
008770,호텔신라,KOSPI,,1.41,1217.57,488.61,4.03,4.81,207.04,29.39,1.41,흑자지속,-5.23,606.0,2529.63,103620502742.0,-7.8475,-26.2118,4.9881,3.744,8455599744.0,0.5827,1.7392,위험,NEW_LOW
008930,한미사이언스,KOSPI,,7.63,50.3,62.87,12.85,16.2,44.44,20.01,3.24,흑자지속,8.75,70.86,54.16,47658093135.0,8.8745,68.7919,69.774,8.0607,30283673048.0,0.4751,5.2122,위험,UPTREND_PULLBACK
009200,무림페이퍼,KOSPI,,4.17,88.27,-2026.56,4.37,-21.26,333.36,,0.1,흑자지속,12.49,184.73,-1273.32,18962580840.0,-6.0051,1.71,64.5251,2.7532,33159914.0,0.6409,0.6142,없음,NEW_LOW
009420,한올바이오파마,KOSPI,,9.73,756.65,-4944.25,7.63,-23.45,48.81,,19.62,흑자지속,8.83,388.54,-3311.32,-2340357567.0,-11.9508,-5.4717,37.5196,7.7543,19042493431.0,0.8518,3.1658,주의,NEW_LOW
009540,HD한국조선해양,KOSPI,기타 금융업 / 선박·해양구조물·엔진,20.2,65.55,158.39,17.58,28.91,146.91,4.84,1.4,흑자지속,20.17,72.51,256.58,4422050644000.0,-8.1658,-2.6631,37.4545,4.8843,57638574400.0,1.629,2.3039,위험,EARLY_REBOUND_UNCONFIRMED
010130,고려아연,KOSPI,1차 비철금속 제조업 / 연·아연괴 제조·판매,62.5,151.55,43.35,10.71,12.17,95.98,17.99,2.19,흑자지속,66.59,126.79,6.61,-628210721953.0,-4.0683,1.2887,54.6112,5.5786,36703090925.0,0.3849,2.8508,위험,TOP_DECLINE
011200,HMM,KOSPI,해상 운송업 / 정기·부정기·전용선,11.74,-26.43,-36.83,10.18,5.33,29.42,13.96,0.74,흑자지속,29.71,51.87,-12.71,3305131000000.0,-3.6952,10.6101,53.5519,3.7307,32145092840.0,0.4613,2.146,없음,TOP_DECLINE
012160,영흥,KOSPI,,-10.59,118.53,94.47,0.36,-1.63,136.52,,0.21,흑자전환,-8.18,191.2,101.04,41424110136.0,-8.0913,489.0957,,,108806311.0,0.7241,2.3493,위험,NEW_LOW
012280,영화금속,KOSPI,,0.53,-26.11,17.22,4.01,16.48,179.38,2.65,0.44,흑자지속,-5.01,-37.17,5.12,14220034444.0,370.1121,349.4048,,,51780144.0,0.8593,21.1095,경계,UPTREND_PULLBACK
012450,한화에어로스페이스,KOSPI,"항공기,우주선 및 부품 제조업 / 항공기엔진·특수방산장비 제조·정비사업",27.54,44.06,242.55,13.32,15.88,190.27,18.39,2.92,흑자지속,47.25,57.95,277.24,4049804576000.0,-1.5483,6.6075,61.9543,5.4427,162931185636.0,0.67,2.3198,경계,EARLY_REBOUND_UNCONFIRMED
012690,모나리자,KOSPI,,8.68,2602.66,211.98,2.16,2.14,19.47,28.75,0.62,흑자지속,15.77,156.52,28.85,2593544222.0,-3.8867,-12.5824,15.5274,4.8707,637078813.0,0.1174,1.2749,없음,SIDEWAYS_OR_UNCONFIRMED
013360,일성건설,KOSPI,,-16.24,-20.96,-12.1,2.79,2.66,446.45,39.11,1.04,흑자지속,-6.77,-1.48,53.81,14816797661.0,-10.4283,20.0499,25.2791,6.4074,593723910.0,0.6399,1.2533,없음,NEW_LOW
013570,디와이,KOSPI,,11.33,4.13,62.95,4.6,8.6,76.39,2.05,0.18,흑자지속,16.38,65.61,447.32,37915826034.0,1.6393,14.0604,77.1739,2.8803,221007047.0,0.3023,1.5164,주의,TOP_DECLINE
014160,대영포장,KOSPI,,4.05,-84.33,-111.91,0.19,-0.2,42.89,,0.38,흑자지속,12.27,24.92,15.48,13348861378.0,-8.2079,-17.4662,,,532166984.0,0.1132,2.3574,주의,NEW_LOW
017670,SK텔레콤,KOSPI,전기 통신업 / 이동전화·무선호출서비스·부가통신,-0.47,21.86,75.89,12.61,10.1,109.29,13.7,1.38,흑자지속,0.47,67.34,459.76,3923847000000.0,5.6977,-9.1,45.8462,5.2435,125550404932.0,0.3747,2.2818,위험,SIDEWAYS_OR_UNCONFIRMED
018260,삼성에스디에스,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업 / IT서비스·물류BPO",0.98,-37.81,-29.93,4.39,5.18,42.35,32.68,1.69,흑자지속,5.86,0.71,4.57,1203327812666.0,-6.1181,-3.0501,59.5588,5.4308,48139176350.0,0.7086,2.583,경계,NEW_LOW
020000,한섬,KOSPI,,7.68,82.67,47.29,5.32,4.22,18.13,5.37,0.23,흑자지속,7.43,524.96,34.71,116179872000.0,-5.4355,-31.036,3.9423,3.5582,1366782765.0,1.2063,1.2411,경계,NEW_LOW
020560,아시아나항공,KOSPI,,-11.03,-942.83,-303.71,-11.59,-617.02,5496.47,,7.43,적자전환,-2.28,-5034.93,-327.17,136976282201.0,8.1461,12.9032,68.1818,3.7687,1194601420.0,0.2835,1.5681,주의,UPTREND_PULLBACK
021240,코웨이,KOSPI,,13.89,11.05,22.41,18.19,18.86,103.56,9.35,1.76,흑자지속,14.56,4.32,14.64,35544145039.0,-2.459,3.4783,65.0538,3.9924,15426287380.0,1.9459,1.6154,경계,TOP_DECLINE
022100,포스코DX,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업 / EIC 자동화 엔지니어링 및 IT서비스",-16.77,-66.16,-56.17,2.85,5.58,45.1,106.38,5.94,흑자지속,-14.76,-42.27,-18.17,145951092070.0,4.4811,-18.2657,44.7975,4.6409,30123081826.0,0.3086,2.212,경계,BOTTOM_REBOUND
023960,에쓰씨엔지니어링,KOSPI,,-58.37,-756.84,-501.26,-17.58,-40.33,179.62,,0.99,적자지속,-68.17,-696.8,-3834.7,3819225326.0,5.9063,10.1695,47.1976,4.0658,58886014.0,0.56,1.0392,위험,BOTTOM_REBOUND
024720,콜마홀딩스,KOSPI,,-10.3,134.36,86.06,15.54,17.19,47.11,2.16,0.37,흑자지속,-18.97,54.72,-10.08,31026274937.0,-5.6,15.2625,56.4232,4.1462,488329752.0,0.3753,1.9591,경계,NEW_LOW
