basis_date,market,ticker,name,history_rows,phase_code,phase_ko,bottom_rebound,new_20d_low,swing_trough_date,swing_trough_close,swing_peak_date,swing_peak_close,from_trough_pct,from_peak_pct,momentum_5d_pct,ma20_value,ma20_direction,ma20_slope_5d_pct,confirmed_swing_low_stop,trailing_reference_status,source_metric_contract_version
2026-09-11,KOSPI,003550,LG,260,TOP_DECLINE,고점후하락,False,False,2026-07-29,92200.0,2026-09-07,124500.0,22.0174,-9.6386,-7.1016,116145.0,1,2.0069,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,003580,HLB글로벌,260,UPTREND_PULLBACK,상승중 눌림,False,False,2026-07-13,1090.0,2026-09-04,1737.0,49.633,-6.1025,-6.1025,1611.4,1,1.1805,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,003670,포스코퓨처엠,260,BOTTOM_REBOUND,저점반등,True,False,2026-07-29,122100.0,2026-06-15,210500.0,51.7609,-11.9715,0.9259,177795.0,1,3.7795,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,004170,신세계,260,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,False,False,2026-09-03,379500.0,2026-07-01,776000.0,0.3953,-50.9021,-0.3922,403225.0,-1,-1.7064,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,004310,현대약품,260,UPTREND,상승중,False,False,2026-07-08,4530.0,2026-09-08,10440.0,116.777,-5.9387,23.522,7355.5,1,13.0224,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,004370,농심,260,TOP_DECLINE,고점후하락,False,False,2026-06-26,329500.0,2026-08-26,459000.0,25.7967,-9.695,-3.6047,433100.0,1,1.1148,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,004490,세방전지,260,UPTREND_PULLBACK,상승중 눌림,False,False,2026-07-29,47700.0,2026-08-31,68200.0,29.1405,-9.6774,-4.3478,61345.0,1,3.1702,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,004545,깨끗한나라우,260,NEW_LOW,최근 신저점,False,True,2026-09-11,3905.0,2026-06-22,9800.0,0.0,-60.1531,-7.0238,4342.5,-1,-3.0313,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,004710,한솔테크닉스,260,BOTTOM_REBOUND,저점반등,True,False,2026-07-30,5640.0,2026-06-22,15460.0,56.9149,-42.7555,4.6099,7691.0,1,4.0449,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,004770,써니전자,260,UPTREND_PULLBACK,상승중 눌림,False,False,2026-07-29,1518.0,2026-09-01,2375.0,39.9868,-10.5263,-2.746,1961.05,1,5.9798,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,004870,티웨이홀딩스,260,NEW_LOW,최근 신저점,False,True,2026-07-23,247.0,2026-08-04,1410.0,352.2267,-20.7801,-2.1034,1144.0,-1,-1.9919,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,004910,조광페인트,260,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,False,False,2026-06-26,3240.0,2026-06-17,3820.0,9.1049,-7.4607,-0.1412,3588.75,-1,-1.0682,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,005320,온타이드,260,UPTREND,상승중,False,False,2026-07-28,655.0,2026-09-04,1205.0,83.6641,-0.166,-0.166,961.75,1,11.9811,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,005380,현대차,260,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,False,False,2026-07-30,351000.0,2026-06-15,647000.0,8.9744,-40.881,-0.2608,403075.0,-1,-1.1889,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,005385,현대차우,260,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,False,False,2026-07-30,178700.0,2026-06-15,256500.0,1.8467,-29.0448,-1.9397,193145.0,-1,-1.6248,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,005387,현대차2우B,260,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,False,False,2026-07-29,179100.0,2026-06-15,257000.0,0.7817,-29.7665,-2.3268,192760.0,-1,-2.0752,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,005389,현대차3우B,260,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,False,False,2026-07-30,173600.0,2026-06-15,244500.0,2.8226,-26.9939,-1.5987,188350.0,-1,-1.6269,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,005490,POSCO홀딩스,260,UPTREND_PULLBACK,상승중 눌림,False,False,2026-07-29,288500.0,2026-06-15,395000.0,15.7712,-15.443,-0.8902,331850.0,1,0.4541,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,005500,삼진제약,260,UPTREND_PULLBACK,상승중 눌림,False,False,2026-07-29,17010.0,2026-06-16,19550.0,8.4068,-5.6777,-1.6533,18398.0,1,0.2916,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,005820,원림,260,NEW_LOW,최근 신저점,False,True,2026-06-26,12760.0,2026-09-01,15540.0,10.9718,-8.8803,-6.9034,15074.5,0,0.0,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,005830,DB손해보험,260,UPTREND,상승중,False,False,2026-06-26,131500.0,2026-09-03,203000.0,45.7795,-5.5665,-2.0439,186480.0,1,3.4793,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,005930,삼성전자,260,BOTTOM_REBOUND,저점반등,True,False,2026-07-30,207000.0,2026-06-18,362500.0,25.3623,-28.4138,1.5656,262800.0,1,2.2071,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,005935,삼성전자우,260,BOTTOM_REBOUND,저점반등,True,False,2026-07-30,151000.0,2026-06-25,235000.0,28.0132,-17.7447,0.8873,192365.0,1,2.5482,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,006110,삼아알미늄,260,TOP_DECLINE,고점후하락,False,False,2026-07-29,27000.0,2026-08-31,71500.0,121.4815,-16.3636,-12.9549,62467.5,1,5.5417,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,006220,제주은행,260,BOTTOM_REBOUND,저점반등,True,False,2026-07-30,8250.0,2026-06-16,12330.0,25.4545,-16.0584,2.7805,9749.5,1,2.0623,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,006260,LS,260,EARLY_REBOUND_UNCONFIRMED,초기반등·확인부족,False,False,2026-07-30,223500.0,2026-06-17,433000.0,42.953,-26.2125,6.6778,310450.0,-1,-0.6798,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,006360,GS건설,260,UPTREND,상승중,False,False,2026-07-29,22200.0,2026-09-11,38500.0,73.4234,0.0,12.4088,35275.0,1,1.3722,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,006370,대구백화점,260,NEW_LOW,최근 신저점,False,True,2026-09-11,3200.0,2026-07-16,5870.0,0.0,-45.4855,-10.6145,3982.75,-1,-7.0916,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
