ticker,name,market,target_year,fs_div,source_layer,source_status,depreciation_value,amortisation_value,da_total,approved_exact_fact_count,both_exact_facts_present,evidence_ref
081000,일진다이아,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,9535846000.0,1176664000.0,10712510000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
086280,현대글로비스,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,754535530000.0,25290412000.0,779825942000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
091810,트리니티항공,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,26088561000.0,954527000.0,27043088000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
097950,CJ제일제당,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,931038347000.0,161808174000.0,1092846521000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
100250,진양홀딩스,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,12571380240.0,217708849.0,12789089089.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
128940,한미약품,KOSPI,2025,CFS,V883_EXISTING_EXACT_RAW,READY_EXACT_DA_SOURCE,86200353541.0,12608631084.0,98808984625.0,2,TRUE,latest/investment_score_source_cache_latest.csv
139480,이마트,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,840541000000.0,154023000000.0,994564000000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
214320,이노션,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,49359420000.0,10230981000.0,59590401000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
234080,JW생명과학,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,16060963000.0,1686242000.0,17747205000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
241590,화승엔터프라이즈,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,62781603000.0,3976368000.0,66757971000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
