date,indicator_code,indicator_name,value,unit,frequency,source,source_url
2022-09-26,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18776731.326263,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-09-27,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18592848.021544,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-09-28,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17909551.640509,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-09-29,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17461183.602791,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-09-30,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17164768.278707,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-10-04,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16848300.25867,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-10-05,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16613700.802341,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-10-13,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16437449.110539,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-10-14,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16270374.257645,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-10-17,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16044694.326804,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-10-18,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,15962164.723325,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-10-19,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16022453.737983,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-10-20,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16117418.222221,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-10-21,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16171616.245771,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-10-24,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16257659.111055,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-10-25,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16225053.436066,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-10-26,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16142800.007029,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-10-27,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16155634.918596,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-10-28,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16156230.309955,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-10-31,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16075685.548217,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-01,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16104147.14242,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-02,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16111596.156483,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-03,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16115113.782658,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-04,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16158220.159837,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-07,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16290081.365965,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-08,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16334254.064892,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-09,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16353345.488941,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-10,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16308810.708889,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-11,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16341818.706634,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-14,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16484209.163717,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-15,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16420768.198636,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-16,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16577275.297122,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-17,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16704597.186763,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-18,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,16879352.734517,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-21,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17011185.382612,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-22,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17008772.099143,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-23,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17007737.957601,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-24,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17024872.325673,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-25,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17023765.651044,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-11-28,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,17044249.717978,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
