basis_date,market,ticker,name,official_close,return_1w_pct,return_1m_pct,return_3m_pct,return_6m_pct,return_ytd_pct,return_52w_pct,swing_phase,swing_phase_ko,swing_trough_date,swing_peak_date,from_trough_pct,from_peak_pct,momentum_5d_pct,ma5_direction,ma20_direction,ma60_direction,ma120_direction,mean_run_days,streak_direction,streak_days,streak_change_pct,rs_kospi_1m_pp,rs_kospi_3m_pp,sector_benchmark_ticker,sector_benchmark_name,rs_sector_1m_pp,rs_sector_3m_pp,atr14_pct,avg_daily_range_20_pct,ma20_reference,confirmed_swing_low_stop,rsi,macd,investment_score_100,earnings_outlook_change
2026-09-11,KOSPI,004870,티웨이홀딩스,1117.0,,-13.5449,318.3521,217.3295,,,NEW_LOW,최근 신저점,2026-07-23,2026-08-04,352.2267,-20.7801,-2.1034,-1,-1,1,1,2.727272727272727,-1,3,-1.759,-22.439,329.3522,1010,비금속,-14.1626,317.5047,,5.6248,1144.0,,,,,
2026-09-11,KOSPI,004910,조광페인트,3535.0,,-6.9737,1.0,-27.0382,,,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-06-26,2026-06-17,9.1049,-7.4607,-0.1412,1,-1,-1,-1,2.0689655172413794,-1,4,-3.1507,-15.8678,12.0001,1008,화학,-9.2415,-0.7013,3.3039,3.1495,3588.75,,,,,
2026-09-11,KOSPI,005320,온타이드,1203.0,,47.9705,8.3784,129.5802,,,UPTREND,상승중,2026-07-28,2026-09-04,83.6641,-0.166,-0.166,1,1,1,1,2.3076923076923075,1,3,2.383,39.0764,19.3785,1016,유통,46.1116,21.5409,,10.3166,961.75,,,,,
2026-09-11,KOSPI,005380,현대차,382500.0,,-5.0868,-35.9296,-27.8302,,,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-30,2026-06-15,8.9744,-40.881,-0.2608,-1,-1,-1,-1,1.8181818181818181,-1,1,-1.671,-13.9809,-24.9295,1015,운송장비·부품,0.7948,-13.4594,4.6014,3.8405,403075.0,,,,,
2026-09-11,KOSPI,005385,현대차우,182000.0,,-7.9413,-22.3881,-31.8352,,,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-30,2026-06-15,1.8467,-29.0448,-1.9397,-1,-1,-1,-1,2.0689655172413794,-1,4,-3.4483,-16.8354,-11.388,1015,운송장비·부품,-2.0597,0.0821,3.5285,2.9166,193145.0,,,,,
2026-09-11,KOSPI,005387,현대차2우B,180500.0,,-9.4784,-23.3546,-31.4991,,,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-29,2026-06-15,0.7817,-29.7665,-2.3268,-1,-1,-1,-1,1.935483870967742,-1,4,-3.7333,-18.3725,-12.3545,1015,운송장비·부품,-3.5968,-0.8844,3.4586,2.8478,192760.0,,,,,
2026-09-11,KOSPI,005389,현대차3우B,178500.0,,-7.7996,-20.3125,-28.6,,,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-30,2026-06-15,2.8226,-26.9939,-1.5987,-1,-1,-1,-1,2.4,-1,4,-2.459,-16.6937,-9.3124,1015,운송장비·부품,-1.918,2.1577,2.8693,2.4947,188350.0,,,,,
2026-09-11,KOSPI,005490,POSCO홀딩스,334000.0,,2.2971,-6.7039,-3.1884,,,UPTREND_PULLBACK,상승중 눌림,2026-07-29,2026-06-15,15.7712,-15.443,-0.8902,-1,1,-1,0,1.8181818181818181,-1,1,-1.4749,-6.597,4.2962,1011,금속,4.0286,-2.7835,3.8664,3.4516,331850.0,,,,,
2026-09-11,KOSPI,005500,삼진제약,18440.0,,-1.3376,-2.3822,2.5584,,,UPTREND_PULLBACK,상승중 눌림,2026-07-29,2026-06-16,8.4068,-5.6777,-1.6533,-1,1,-1,0,1.7142857142857142,-1,4,-1.8104,-10.2317,8.6179,1009,제약,9.8104,-9.4322,2.3593,2.308,18398.0,,,,,
2026-09-11,KOSPI,005820,원림,14160.0,,-2.814,4.1176,-10.8312,,,NEW_LOW,최근 신저점,2026-06-26,2026-09-01,10.9718,-8.8803,-6.9034,-1,0,1,-1,2.727272727272727,-1,5,-6.9034,-11.7081,15.1177,1006,섬유·의류,-0.5434,13.6763,3.7108,3.4645,15074.5,,,,,
