date,Adj Close,Close,High,Low,Open,Volume,name,ticker,country,source_used,시가,고가,저가,종가,거래량,등락률
2026-03-09,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,910000.0,935000.0,877000.0,907000.0,199628.0,-6.301652892561983
2026-03-10,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,963000.0,970000.0,919000.0,941000.0,141252.0,3.7486218302094816
2026-03-11,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,962000.0,975000.0,930000.0,939000.0,123719.0,-0.21253985122210414
2026-03-12,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,925000.0,962000.0,922000.0,944000.0,106954.0,0.5324813631522897
2026-03-13,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,911000.0,949000.0,908000.0,929000.0,147873.0,-1.5889830508474576
2026-03-16,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,920000.0,930000.0,890000.0,905000.0,108390.0,-2.583423035522067
2026-03-17,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,926000.0,950000.0,925000.0,931000.0,86102.0,2.8729281767955803
2026-03-18,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,959000.0,976000.0,954000.0,974000.0,103612.0,4.618689581095596
2026-03-19,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,950000.0,986000.0,948000.0,958000.0,112178.0,-1.642710472279261
2026-03-20,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,971000.0,974000.0,952000.0,959000.0,107776.0,0.10438413361169101
2026-03-23,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,925000.0,935000.0,900000.0,913000.0,112092.0,-4.796663190823774
2026-03-24,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,949000.0,954000.0,896000.0,925000.0,135896.0,1.3143483023001095
2026-03-25,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,960000.0,997000.0,950000.0,992000.0,145733.0,7.243243243243243
2026-03-26,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,991000.0,1006000.0,960000.0,965000.0,82599.0,-2.721774193548387
2026-03-27,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,933000.0,937000.0,887000.0,915000.0,164950.0,-5.181347150259067
2026-03-30,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,871000.0,899000.0,863000.0,872000.0,121088.0,-4.699453551912568
2026-03-31,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,853000.0,870000.0,830000.0,832000.0,194755.0,-4.587155963302752
2026-04-01,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,898000.0,915000.0,881000.0,902000.0,138793.0,8.413461538461538
2026-04-02,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,935000.0,943000.0,871000.0,882000.0,189874.0,-2.2172949002217295
2026-04-03,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,904000.0,907000.0,879000.0,883000.0,82110.0,0.11337868480725624
2026-04-06,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,903000.0,929000.0,888000.0,894000.0,64468.0,1.245753114382786
2026-04-07,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,907000.0,915000.0,883000.0,891000.0,58022.0,-0.33557046979865773
2026-04-08,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,962000.0,992000.0,946000.0,980000.0,156758.0,9.988776655443322
2026-04-09,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,991000.0,1000000.0,973000.0,980000.0,181604.0,0.0
2026-04-10,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,997000.0,1020000.0,994000.0,999000.0,136005.0,1.9387755102040816
2026-04-13,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,984000.0,1012000.0,975000.0,1007000.0,112646.0,0.8008008008008007
2026-04-14,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1040000.0,1068000.0,1035000.0,1061000.0,180694.0,5.362462760675273
2026-04-15,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1091000.0,1093000.0,1043000.0,1050000.0,175241.0,-1.0367577756833177
2026-04-16,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1051000.0,1086000.0,1051000.0,1085000.0,121126.0,3.3333333333333335
2026-04-17,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1080000.0,1106000.0,1071000.0,1087000.0,132742.0,0.18433179723502305
2026-04-20,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1094000.0,1100000.0,1075000.0,1087000.0,115237.0,0.0
2026-04-21,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1088000.0,1108000.0,1046000.0,1058000.0,197856.0,-2.667893284268629
2026-04-22,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1066000.0,1090000.0,1034000.0,1090000.0,157761.0,3.0245746691871456
2026-04-23,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1122000.0,1149000.0,1098000.0,1129000.0,197505.0,3.577981651376147
2026-04-24,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1146000.0,1299000.0,1136000.0,1248000.0,280050.0,10.54030115146147
2026-04-27,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1300000.0,1324000.0,1260000.0,1306000.0,254572.0,4.647435897435898
2026-04-28,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1338000.0,1350000.0,1214000.0,1238000.0,344085.0,-5.206738131699847
2026-04-29,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1260000.0,1290000.0,1246000.0,1260000.0,171099.0,1.7770597738287561
2026-04-30,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1254000.0,1281000.0,1251000.0,1252000.0,153511.0,-0.6349206349206349
2026-05-04,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1280000.0,1320000.0,1273000.0,1299000.0,191307.0,3.753993610223642
2026-05-06,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1354000.0,1420000.0,1337000.0,1389000.0,268160.0,6.928406466512701
2026-05-07,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1417000.0,1430000.0,1331000.0,1420000.0,217221.0,2.2318214542836574
2026-05-08,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1403000.0,1409000.0,1367000.0,1403000.0,186901.0,-1.1971830985915493
2026-05-11,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1403000.0,1404000.0,1351000.0,1362000.0,167065.0,-2.9223093371347115
2026-05-12,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1367000.0,1386000.0,1252000.0,1309000.0,218673.0,-3.8913362701908953
2026-05-13,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1275000.0,1293000.0,1235000.0,1280000.0,145588.0,-2.2154316271963332
2026-05-14,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1325000.0,1355000.0,1243000.0,1267000.0,133962.0,-1.015625
2026-05-15,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1267000.0,1276000.0,1153000.0,1179000.0,184128.0,-6.945540647198106
2026-05-18,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1137000.0,1174000.0,1073000.0,1147000.0,195181.0,-2.7141645462256148
2026-05-19,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1145000.0,1147000.0,1059000.0,1095000.0,171144.0,-4.533565823888405
2026-05-20,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1080000.0,1120000.0,1035000.0,1066000.0,178086.0,-2.6484018264840183
2026-05-21,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1119000.0,1150000.0,1090000.0,1136000.0,187394.0,6.566604127579738
2026-05-22,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1193000.0,1208000.0,1153000.0,1173000.0,123287.0,3.2570422535211265
2026-05-26,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1230000.0,1231000.0,1145000.0,1148000.0,139347.0,-2.131287297527707
2026-05-27,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1166000.0,1166000.0,1091000.0,1094000.0,205620.0,-4.70383275261324
2026-05-28,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1091000.0,1100000.0,1007000.0,1047000.0,283478.0,-4.296160877513711
2026-05-29,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1089000.0,1090000.0,1010000.0,1053000.0,275081.0,0.5730659025787965
2026-06-01,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1054000.0,1112000.0,1037000.0,1066000.0,223784.0,1.2345679012345678
2026-06-02,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1065000.0,1065000.0,982000.0,995000.0,207853.0,-6.660412757973734
2026-06-04,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,1017000.0,1031000.0,996000.0,999000.0,256067.0,0.4020100502512563
2026-03-04,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,568000.0,574000.0,503000.0,511000.0,481480.0,-13.389830508474576
2026-03-05,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,560000.0,565000.0,545000.0,559000.0,251920.0,9.393346379647749
2026-03-06,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,538000.0,564000.0,536000.0,554000.0,202506.0,-0.8944543828264758
2026-03-09,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,524000.0,580000.0,521000.0,576000.0,362474.0,3.9711191335740073
2026-03-10,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,586000.0,589000.0,564000.0,583000.0,265047.0,1.215277777777778
2026-03-11,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,595000.0,611000.0,585000.0,590000.0,256643.0,1.2006861063464835
2026-03-12,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,588000.0,608000.0,582000.0,604000.0,270605.0,2.3728813559322033
2026-03-13,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,600000.0,604000.0,588000.0,596000.0,187775.0,-1.3245033112582782
2026-03-16,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,592000.0,594000.0,576000.0,583000.0,153623.0,-2.1812080536912752
2026-03-17,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,587000.0,596000.0,583000.0,587000.0,164715.0,0.6861063464837049
2026-03-18,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,596000.0,598000.0,578000.0,590000.0,231091.0,0.5110732538330494
2026-03-19,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,580000.0,584000.0,566000.0,567000.0,173145.0,-3.898305084745763
2026-03-20,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,569000.0,572000.0,555000.0,559000.0,269023.0,-1.4109347442680775
2026-03-23,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,535000.0,539000.0,502000.0,502000.0,282229.0,-10.196779964221825
2026-03-24,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,527000.0,528000.0,497000.0,516000.0,194214.0,2.788844621513944
2026-03-25,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,524000.0,526000.0,505000.0,523000.0,262835.0,1.3565891472868217
2026-03-26,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,529000.0,529000.0,509000.0,511000.0,179100.0,-2.294455066921606
2026-03-27,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,494000.0,500000.0,480000.0,498500.0,227698.0,-2.446183953033268
2026-03-30,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,466000.0,485000.0,460500.0,480000.0,226431.0,-3.711133400200602
2026-03-31,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,480000.0,488000.0,463500.0,465000.0,285931.0,-3.125
2026-04-01,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,456500.0,460500.0,428000.0,451500.0,1929070.0,-2.903225806451613
2026-04-02,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,467000.0,468500.0,435000.0,439000.0,662311.0,-2.768549280177187
2026-04-03,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,452500.0,490000.0,447000.0,479500.0,743866.0,9.225512528473805
2026-04-06,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,476500.0,489500.0,470000.0,471000.0,236776.0,-1.7726798748696557
2026-04-07,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,473000.0,490750.0,463000.0,470000.0,220132.0,-0.21231422505307856
2026-04-08,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,489500.0,498500.0,480500.0,484500.0,366294.0,3.0851063829787235
2026-04-09,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,489000.0,490000.0,470500.0,470500.0,500179.0,-2.8895768833849327
2026-04-10,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,475500.0,484000.0,473500.0,475000.0,204629.0,0.9564293304994688
2026-04-13,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,468000.0,474500.0,461500.0,463000.0,238785.0,-2.526315789473684
2026-04-14,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,470000.0,479000.0,467500.0,479000.0,240291.0,3.455723542116631
2026-04-15,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,487500.0,490000.0,474000.0,474500.0,315360.0,-0.9394572025052191
2026-04-16,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,481000.0,502000.0,480000.0,493500.0,377091.0,4.004214963119073
2026-04-17,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,501000.0,517000.0,490000.0,514000.0,513950.0,4.154002026342452
2026-04-20,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,524000.0,528000.0,511000.0,524000.0,354254.0,1.9455252918287937
2026-04-21,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,532000.0,578000.0,529000.0,576000.0,768569.0,9.923664122137405
2026-04-22,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,577000.0,643000.0,564000.0,641000.0,1396507.0,11.284722222222223
2026-04-23,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,638000.0,656000.0,613000.0,641000.0,907417.0,0.0
2026-04-24,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,658000.0,675000.0,646000.0,671000.0,597616.0,4.6801872074882995
2026-04-27,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,685000.0,697000.0,663000.0,673000.0,529913.0,0.29806259314456035
2026-04-28,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,664000.0,670000.0,650000.0,667000.0,422174.0,-0.8915304606240713
2026-04-29,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,659000.0,710000.0,649000.0,690000.0,648727.0,3.4482758620689653
2026-04-30,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,688000.0,696000.0,679000.0,685000.0,408185.0,-0.7246376811594203
2026-05-04,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,699000.0,706000.0,675000.0,680000.0,426626.0,-0.7299270072992701
2026-05-06,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,679000.0,679000.0,644000.0,648000.0,649003.0,-4.705882352941177
2026-05-07,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,658000.0,705000.0,655000.0,693000.0,809696.0,6.944444444444445
2026-05-08,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,687000.0,696000.0,645000.0,658000.0,620979.0,-5.05050505050505
2026-05-11,,,,,,,HD현대중공업,329180,KR,pykrx_adjusted,666000.0,698000.0,665000.0,685000.0,573817.0,4.103343465045593
