basis_date,market,ticker,name,return_1w_pct,return_1w_start_date,return_1w_status,return_6m_pct,return_6m_start_date,return_6m_status,return_ytd_pct,return_ytd_start_date,return_ytd_status,return_52w_pct,return_52w_start_date,return_52w_status
2026-09-11,KOSPI,010580,에스엠벡셀,50.6769,2026-09-04,OK,24.2718,2026-03-11,OK,9.1684,2025-12-30,OK,63.3695,2025-09-12,OK
2026-09-11,KOSPI,010950,S-Oil,-4.6408,2026-09-04,OK,30.8901,2026-03-11,OK,80.7229,2025-12-30,OK,153.3784,2025-09-12,OK
2026-09-11,KOSPI,011070,LG이노텍,-3.3808,2026-09-04,OK,108.046,2026-03-11,OK,100.369,2025-12-30,OK,223.5995,2025-09-12,OK
2026-09-11,KOSPI,011200,HMM,-0.9501,2026-09-04,OK,-0.7143,2026-03-11,OK,1.7073,2025-12-30,OK,-14.1975,2025-09-12,OK
2026-09-11,KOSPI,011780,금호석유화학,-0.7943,2026-09-04,OK,-0.3192,2026-03-11,OK,3.4797,2025-12-30,OK,14.0639,2025-09-12,OK
2026-09-11,KOSPI,012160,영흥,-5.7447,2026-09-04,OK,300.5425,2026-03-11,OK,352.9652,2025-12-30,OK,269.1667,2025-09-12,OK
2026-09-11,KOSPI,012170,아센디오,1.9332,2026-09-04,OK,114.8148,2026-03-11,OK,71.4962,2025-12-30,OK,28.6031,2025-09-12,OK
2026-09-11,KOSPI,012280,영화금속,-5.9776,2026-09-04,OK,262.6321,2026-03-11,OK,297.3684,2025-12-30,OK,311.6685,2025-09-12,OK
2026-09-11,KOSPI,012330,현대모비스,-1.5403,2026-09-04,OK,-1.773,2026-03-11,OK,11.3941,2025-12-30,OK,32.5359,2025-09-12,OK
2026-09-11,KOSPI,012450,한화에어로스페이스,2.4645,2026-09-04,OK,-23.3333,2026-03-11,OK,14.8778,2025-12-30,OK,7.8842,2025-09-12,OK
2026-09-11,KOSPI,012690,모나리자,-2.992,2026-09-04,OK,-30.8531,2026-03-11,OK,-31.5023,2025-12-30,OK,-41.4056,2025-09-12,OK
2026-09-11,KOSPI,012750,에스원,2.7778,2026-09-04,OK,-3.3254,2026-03-11,OK,12.8988,2025-12-30,OK,1.118,2025-09-12,OK
2026-09-11,KOSPI,013360,일성건설,-5.6863,2026-09-04,OK,-15.1176,2026-03-11,OK,-35.0,2025-12-30,OK,0.0693,2025-09-12,OK
2026-09-11,KOSPI,013570,디와이,-0.9132,2026-09-04,OK,-13.2,2026-03-11,OK,-7.0664,2025-12-30,OK,-2.7996,2025-09-12,OK
2026-09-11,KOSPI,014160,대영포장,-2.7536,2026-09-04,OK,-33.7611,2026-03-11,OK,-37.4651,2025-12-30,OK,-44.3615,2025-09-12,OK
2026-09-11,KOSPI,014990,인디에프,-4.7018,2026-09-04,OK,415.5087,2026-03-11,OK,377.5862,2025-12-30,OK,276.6999,2025-09-12,OK
2026-09-11,KOSPI,017670,SK텔레콤,-1.7297,2026-09-04,OK,16.6881,2026-03-11,OK,69.9065,2025-12-30,OK,64.9728,2025-09-12,OK
2026-09-11,KOSPI,018260,삼성에스디에스,-6.5126,2026-09-04,OK,36.0856,2026-03-11,OK,29.7376,2025-12-30,OK,33.1538,2025-09-12,OK
2026-09-11,KOSPI,019680,대교,81.9,2026-09-04,OK,16.3788,2026-03-11,OK,-4.0612,2025-12-30,OK,-19.8678,2025-09-12,OK
2026-09-11,KOSPI,020000,한섬,-1.2258,2026-09-04,OK,-35.9414,2026-03-11,OK,-4.3125,2025-12-30,OK,0.0,2025-09-12,OK
2026-09-11,KOSPI,020120,키다리스튜디오,12.5,2026-09-04,OK,142.1525,2026-03-11,OK,138.5862,2025-12-30,OK,105.845,2025-09-12,OK
2026-09-11,KOSPI,020560,아시아나항공,-4.703,2026-09-04,OK,10.4735,2026-03-11,OK,-2.0356,2025-12-30,OK,-19.4561,2025-09-12,OK
2026-09-11,KOSPI,021240,코웨이,-4.2254,2026-09-04,OK,28.475,2026-03-11,OK,9.5512,2025-12-30,OK,-4.8951,2025-09-12,OK
2026-09-11,KOSPI,022100,포스코DX,2.3095,2026-09-04,OK,-32.0552,2026-03-11,OK,-22.9565,2025-12-30,OK,-3.2751,2025-09-12,OK
2026-09-11,KOSPI,023960,에쓰씨엔지니어링,1.069,2026-09-04,OK,-25.2336,2026-03-11,OK,-20.0,2025-12-30,OK,-11.414,2025-09-12,OK
2026-09-11,KOSPI,024720,콜마홀딩스,-5.2209,2026-09-04,OK,1.7241,2026-03-11,OK,-0.7361,2025-12-30,OK,-28.8621,2025-09-12,OK
2026-09-11,KOSPI,025860,남해화학,-3.1447,2026-09-04,OK,-23.5732,2026-03-11,OK,-7.5075,2025-12-30,OK,-11.3669,2025-09-12,OK
2026-09-11,KOSPI,028050,삼성E&A,11.2323,2026-09-04,OK,60.3774,2026-03-11,OK,112.0582,2025-12-30,OK,79.5775,2025-09-12,OK
2026-09-11,KOSPI,028260,삼성물산,0.0,2026-09-04,OK,29.4533,2026-03-11,OK,53.2359,2025-12-30,OK,100.5464,2025-09-12,OK
2026-09-11,KOSPI,028670,팬오션,1.1745,2026-09-04,OK,19.17,2026-03-11,OK,56.6234,2025-12-30,OK,44.7779,2025-09-12,OK
2026-09-11,KOSPI,029530,신도리코,-2.375,2026-09-04,OK,-29.6396,2026-03-11,OK,-19.6502,2025-12-30,OK,-13.029,2025-09-12,OK
2026-09-11,KOSPI,029780,삼성카드,-1.4085,2026-09-04,OK,-23.5294,2026-03-11,OK,-18.6047,2025-12-30,OK,-13.8258,2025-09-12,OK
2026-09-11,KOSPI,032830,삼성생명,3.3613,2026-09-04,OK,35.7616,2026-03-11,OK,95.1142,2025-12-30,OK,92.3077,2025-09-12,OK
2026-09-11,KOSPI,033240,자화전자,-11.2745,2026-09-04,OK,-38.8514,2026-03-11,OK,5.642,2025-12-30,OK,42.0722,2025-09-12,OK
2026-09-11,KOSPI,033780,KT&G,-0.4058,2026-09-04,OK,11.1255,2026-03-11,OK,20.9008,2025-12-30,OK,28.4966,2025-09-12,OK
2026-09-11,KOSPI,034020,두산에너빌리티,14.6465,2026-09-04,OK,-10.099,2026-03-11,OK,20.5843,2025-12-30,OK,48.8525,2025-09-12,OK
2026-09-11,KOSPI,034730,SK,2.0942,2026-09-04,OK,62.726,2026-03-11,OK,128.0702,2025-12-30,OK,162.9213,2025-09-12,OK
2026-09-11,KOSPI,035420,NAVER,-3.2787,2026-09-04,OK,-6.982,2026-03-11,OK,-14.8454,2025-12-30,OK,-12.5,2025-09-12,OK
2026-09-11,KOSPI,035720,카카오,-4.6961,2026-09-04,OK,-32.22,2026-03-11,OK,-42.5957,2025-12-30,OK,-47.3282,2025-09-12,OK
2026-09-11,KOSPI,036570,NC,-7.4324,2026-09-04,OK,-2.1429,2026-03-11,OK,1.9851,2025-12-30,OK,-6.5909,2025-09-12,OK
2026-09-11,KOSPI,036580,팜스코,-0.7634,2026-09-04,OK,-23.8653,2026-03-11,OK,8.5595,2025-12-30,OK,-2.6217,2025-09-12,OK
2026-09-11,KOSDAQ,036930,주성엔지니어링,17.2182,2026-09-04,OK,211.9403,2026-03-11,OK,654.5126,2025-12-30,OK,629.4939,2025-09-12,OK
2026-09-11,KOSPI,039490,키움증권,2.7726,2026-09-04,OK,-38.2222,2026-03-11,OK,-3.9724,2025-12-30,OK,11.4228,2025-09-12,OK
2026-09-11,KOSDAQ,041190,우리기술투자,-10.6109,2026-09-04,OK,-18.1149,2026-03-11,OK,-24.4565,2025-12-30,OK,-48.8971,2025-09-12,OK
2026-09-11,KOSPI,042660,한화오션,-1.3825,2026-09-04,OK,-35.9281,2026-03-11,OK,-24.6479,2025-12-30,OK,-24.3816,2025-09-12,OK
