ticker,종목,corp_code,rcept_no,report_nm,rcept_dt,report_status,document_status,sector_proxy,export_mentions,fx_asset_mentions,fx_liab_mentions,hedge_mentions,import_mentions,order_mentions,sensitivity_mentions,overseas_revenue_pct,hedge_pct_proxy,text_length,공시신뢰도,confidence_reason,dollar_sales_score,won_cost_score,hedge_score,foreign_debt_score,import_cost_score,earnings_score,technical_score,risk_score,backlog_bonus,sensitivity_bonus,fx_net_benefit_score
000215,DL우,,,,,NO_CORP_CODE,OK,기타,0,0,0,0,0,0,0,,,0,D,DART 고유번호 매칭 실패,6.25,6.0,11.0,8.0,5.5,8.0,8.0,5.0,0.0,0.0,57.75
375500,DL이앤씨,01524093,20260515002039,[기재정정]사업보고서 (2025.12),20260515,OK,OK,기타,89,201,8,439,3198,26,97,,,662941,B,주석 수치 일부와 환율노출 키워드 확인,6.25,6.0,8.0,7.0,3.0,8.0,10.0,5.0,5.0,5.0,63.25
007340,DN오토모티브,00116949,20260312001285,사업보고서 (2025.12),20260312,OK,OK,기타,197,126,19,505,2392,1,174,,10.0,541445,A,주석에서 환율노출 관련 수치 다수 확인,6.25,6.0,13.5,7.0,3.0,8.0,7.0,5.0,0.4,5.0,61.15
004840,DRB동일,00118266,20260319000977,사업보고서 (2025.12),20260319,OK,OK,기타,89,195,22,24,1726,14,77,5.2,,402160,A,주석에서 환율노출 관련 수치 다수 확인,1.3,6.0,8.0,7.0,3.0,8.0,10.0,5.0,5.0,5.0,58.3
155660,DSR,00110608,20260319001193,사업보고서 (2025.12),20260319,OK,OK,기타,145,272,0,560,1515,19,60,95.0,,384945,B,주석 수치 일부와 환율노출 키워드 확인,23.75,6.0,8.0,8.0,3.0,8.0,10.0,5.0,5.0,5.0,81.75
069730,DSR제강,00151298,20260318001149,사업보고서 (2025.12),20260318,OK,OK,기타,85,254,26,438,1424,2,63,,,395382,B,주석 수치 일부와 환율노출 키워드 확인,6.25,6.0,8.0,7.0,3.0,8.0,10.0,5.0,0.8,5.0,59.05
017860,DS단석,00108612,20260323000702,사업보고서 (2025.12),20260323,OK,OK,기타,107,178,28,222,1901,19,85,,,487958,B,주석 수치 일부와 환율노출 키워드 확인,6.25,6.0,8.0,7.0,3.0,8.0,8.0,2.0,5.0,5.0,58.25
092780,DYP,00117726,20260323001599,사업보고서 (2025.12),20260323,OK,OK,기타,72,50,0,129,1668,1,62,,,389316,C,보고서 텍스트 단서와 산업 프록시 중심,6.25,6.0,8.0,8.0,3.0,8.0,8.0,5.0,0.4,5.0,57.65
017940,E1,00165583,20260319001298,사업보고서 (2025.12),20260319,OK,OK,기타,124,229,23,923,3860,55,144,52.8,,1005090,B,주석 수치 일부와 환율노출 키워드 확인,13.2,6.0,8.0,7.0,3.0,3.0,8.0,5.0,5.0,5.0,63.2
365550,ESR켄달스퀘어리츠,01437186,20260213002140,사업보고서 (2025.11),20260213,OK,OK,기타,7,7,0,68,1447,0,16,3.84,,223309,B,주석 수치 일부와 환율노출 키워드 확인,0.96,6.0,8.0,8.0,3.0,8.0,8.0,5.0,0.0,5.0,51.96
383220,F&F,01568413,20260318001512,사업보고서 (2025.12),20260318,OK,OK,기타,120,117,30,119,1520,0,133,100.0,,460505,B,주석 수치 일부와 환율노출 키워드 확인,25.0,6.0,8.0,7.0,3.0,8.0,4.0,5.0,0.0,5.0,71.0
007700,F&F홀딩스,00126487,20260318001442,사업보고서 (2025.12),20260318,OK,OK,기타,127,100,16,145,1541,0,123,100.0,,430584,B,주석 수치 일부와 환율노출 키워드 확인,25.0,6.0,8.0,7.0,3.0,8.0,10.0,5.0,0.0,5.0,77.0
114090,GKL,00557508,20260608000223,[기재정정]사업보고서 (2025.12),20260608,OK,OK,기타,11,159,0,11,606,0,40,,,199304,B,주석 수치 일부와 환율노출 키워드 확인,6.25,6.0,8.0,8.0,3.0,8.0,4.0,5.0,0.0,5.0,53.25
078930,GS,00500254,20260318000836,사업보고서 (2025.12),20260318,OK,OK,기타,272,488,22,505,4174,20,153,,,933857,B,주석 수치 일부와 환율노출 키워드 확인,6.25,6.0,8.0,7.0,3.0,8.0,10.0,5.0,5.0,5.0,63.25
006360,GS건설,00120030,20260316001192,사업보고서 (2025.12),20260316,OK,OK,기타,301,450,10,600,3602,70,58,1.2,12.69,1062958,A,주석에서 환율노출 관련 수치 다수 확인,0.3,6.0,13.1,7.0,3.0,8.0,10.0,5.0,5.0,5.0,62.4
001250,GS글로벌,00138190,20260317000713,사업보고서 (2025.12),20260317,OK,OK,기타,197,285,58,1108,2437,5,113,,10.98,615515,B,주석 수치 일부와 환율노출 키워드 확인,6.25,6.0,13.35,7.0,3.0,8.0,8.0,5.0,2.0,5.0,63.6
